Ca2 
  Keys,,    Transition,,        Wavelength   ,          Matrix el. ,       ,       Br. ratio,     Tran. rate   ,     Wavelength,       Unc  ,  Unc %,  Matrix el.,       Unc  ,   Unc %,      Br. ratio,          Unc  ,   Unc %,  Tran. rate,    Unc  ,  Unc %
 44,  16, 11d3/2,  7p1/2,          982.9(5)  , *        1.2014(50) ,        ,      0.0675(11),  7.700(65)E+05  ,          982.9,         0.5,   0.05,      1.2014,      0.0050,    0.42,         0.0675,         0.0011,    1.65,  7.7003E+05,  6.5E+03,    0.85
 44,  17, 11d3/2,  7p3/2,          984.8(5)  , *        0.5357(23) ,        ,     0.01335(22),  1.522(13)E+05  ,          984.8,         0.5,   0.05,      0.5357,      0.0023,    0.43,        0.01335,        0.00022,    1.68,  1.5220E+05,  1.3E+03,    0.88
 44,  18, 11d3/2,  8p1/2,           1628(1)  , *        2.1617(63) ,        ,     0.04813(75),  5.487(34)E+05  ,          1628 ,          1 ,   0.07,      2.1617,      0.0063,    0.29,        0.04813,        0.00075,    1.56,  5.4865E+05,  3.4E+03,    0.62
 44,  19, 11d3/2,  8p3/2,           1631(1)  , *        0.9652(29) ,        ,     0.00954(15),  1.0873(70)E+05 ,          1631 ,          1 ,   0.07,      0.9652,      0.0029,    0.31,        0.00954,        0.00015,    1.58,  1.0873E+05,  7.0E+02,    0.64
 44,  20, 11d3/2,  9p1/2,           2769(2)  , *        4.1927(67) ,        ,     0.03677(55),  4.192(17)E+05  ,          2769 ,          2 ,   0.08,      4.1927,      0.0067,    0.16,        0.03677,        0.00055,    1.50,  4.1917E+05,  1.7E+03,    0.41
 44,  21, 11d3/2,  9p3/2,           2776(2)  , *        1.8751(32) ,        ,     0.00731(11),  8.328(35)E+04  ,          2776 ,          2 ,   0.08,      1.8751,      0.0032,    0.17,        0.00731,        0.00011,    1.51,  8.3283E+04,  3.5E+02,    0.42
 44,  22, 11d3/2, 10p1/2,           5221(6)  , *        9.8361(49) ,        ,     0.03020(45),  3.442(12)E+05  ,          5221 ,          6 ,   0.11,      9.8361,      0.0049,    0.05,        0.03020,        0.00045,    1.48,  3.4425E+05,  1.2E+03,    0.34
 44,  23, 11d3/2, 10p3/2,           5237(6)  , *        4.4101(22) ,        ,    0.006018(89),  6.861(23)E+04  ,          5237 ,          6 ,   0.11,      4.4101,      0.0022,    0.05,       0.006018,       0.000089,    1.48,  6.8608E+04,  2.3E+02,    0.34
 44,  24, 11d3/2, 11p1/2,         13800(40)  , *         40.66(21) ,        ,     0.02797(54),  3.189(43)E+05  ,         13798 ,         39 ,   0.28,       40.66,        0.21,    0.52,        0.02797,        0.00054,    1.95,  3.1885E+05,  4.3E+03,    1.34
 44,  25, 11d3/2, 11p3/2,         13870(40)  , *        18.356(95) ,        ,     0.00561(11),  6.392(86)E+04  ,         13873 ,         40 ,   0.29,      18.356,       0.095,    0.52,        0.00561,        0.00011,    1.97,  6.3919E+04,  8.6E+02,    1.35
 44,  46, 11d3/2,  4f5/2,        423.458(9)  ,          0.1259(18) ,        ,     0.00928(30),  1.057(31)E+05  ,        423.458,       0.009,   0.00,      0.1259,      0.0018,    1.45,        0.00928,        0.00030,    3.22,  1.0575E+05,  3.1E+03,    2.91
 44,  48, 11d3/2,  5f5/2,         733.27(3)  ,          0.3006(47) ,        ,     0.01018(35),  1.161(36)E+05  ,         733.27,        0.03,   0.00,      0.3006,      0.0047,    1.55,        0.01018,        0.00035,    3.39,  1.1607E+05,  3.6E+03,    3.10
 44,  50, 11d3/2,  6f5/2,        1217.45(7)  ,           0.605(10) ,        ,     0.00900(32),  1.026(34)E+05  ,        1217.45,        0.07,   0.01,       0.605,       0.010,    1.65,        0.00900,        0.00032,    3.57,  1.0259E+05,  3.4E+03,    3.30
 44,  52, 11d3/2,  7f5/2,         2022.3(2)  ,           1.193(21) ,        ,     0.00764(29),  8.71(30)E+04   ,         2022.3,         0.2,   0.01,       1.193,       0.021,    1.74,        0.00764,        0.00029,    3.75,  8.7116E+04,  3.0E+03,    3.48
 44,  54, 11d3/2,  8f5/2,         3540.2(6)  ,           2.575(47) ,        ,     0.00664(26),  7.57(27)E+04   ,         3540.2,         0.6,   0.02,       2.575,       0.047,    1.81,        0.00664,        0.00026,    3.87,  7.5667E+04,  2.7E+03,    3.62
