Ra2 
  Keys,,    Transition,,        Wavelength   ,          Matrix el. ,       ,       Br. ratio,     Tran. rate   ,     Wavelength,       Unc  ,  Unc %,  Matrix el.,       Unc  ,   Unc %,      Br. ratio,          Unc  ,   Unc %,  Tran. rate,    Unc  ,  Unc %
 19,  25, 12p1/2,  6d3/2,        159.948(9)  , *         0.003(12) ,        ,       0.001(10),  3(20)E+03      ,        159.948,       0.009,   0.01,       0.003,       0.012,  363.84,          0.001,          0.010,  727.17,  2.8165E+03,  2.0E+04,  727.68
 19,  27, 12p1/2,  7d3/2,         386.69(5)  , *        0.0667(46) ,        ,       0.038(11),  7.8(11)E+04    ,         386.69,        0.05,   0.01,      0.0667,      0.0046,    6.93,          0.038,          0.011,   29.88,  7.7998E+04,  1.1E+04,   13.86
 19,  29, 12p1/2,  8d3/2,          777.0(2)  , *       0.26309(32) ,        ,       0.073(20),  1.4947(39)E+05 ,          777.0,         0.2,   0.03,     0.26309,     0.00032,    0.12,          0.073,          0.020,   26.75,  1.4947E+05,  3.9E+02,    0.26
 19,  31, 12p1/2,  9d3/2,         1577.1(9)  , *        0.8477(89) ,        ,       0.091(24),  1.856(39)E+05  ,         1577.1,         0.9,   0.06,      0.8477,      0.0089,    1.05,          0.091,          0.024,   26.82,  1.8557E+05,  3.9E+03,    2.11
 19,  33, 12p1/2, 10d3/2,           3904(5)  , *        3.3669(77) ,        ,       0.095(25),  1.930(12)E+05  ,          3904 ,          5 ,   0.14,      3.3669,      0.0077,    0.23,          0.095,          0.025,   26.75,  1.9300E+05,  1.2E+03,    0.62
 19,  35, 12p1/2, 11d3/2,     5.9(1)E+04     , *         48.96(10) ,        ,      0.0059(16),  1.203(75)E+04  ,         58660 ,       1209 ,   2.06,       48.96,        0.10,    0.21,         0.0059,         0.0016,   27.45,  1.2032E+04,  7.5E+02,    6.20
 21,   1, 13p1/2,  7s1/2,        131.298(4)  , *         0.040(11) ,        ,        0.47(14),  7.0(41)E+05    ,        131.298,       0.004,   0.00,       0.040,       0.011,   28.96,           0.47,           0.14,   30.97,  7.0174E+05,  4.1E+05,   57.91
 21,   2, 13p1/2,  8s1/2,         305.27(2)  , *        0.0306(90) ,        ,       0.022(14),  3.3(20)E+04    ,         305.27,        0.02,   0.01,      0.0306,      0.0090,   29.38,          0.022,          0.014,   63.49,  3.3258E+04,  2.0E+04,   58.76
 21,   3, 13p1/2,  9s1/2,         588.33(7)  , *        0.0098(12) ,        ,     0.00032(11),  4.8(11)E+02    ,         588.33,        0.07,   0.01,      0.0098,      0.0012,   11.89,        0.00032,        0.00011,   36.00,  4.7766E+02,  1.1E+02,   23.77
 21,   4, 13p1/2, 10s1/2,         1072.5(2)  , *        0.0553(19) ,        ,     0.00167(47),  2.51(17)E+03   ,         1072.5,         0.2,   0.02,      0.0553,      0.0019,    3.36,        0.00167,        0.00047,   27.85,  2.5147E+03,  1.7E+02,    6.71
 21,   5, 13p1/2, 11s1/2,         2004.1(8)  , *        0.2857(45) ,        ,      0.0068(19),  1.027(33)E+04  ,         2004.1,         0.8,   0.04,      0.2857,      0.0045,    1.59,         0.0068,         0.0019,   27.22,  1.0272E+04,  3.3E+02,    3.18
 21,   6, 13p1/2, 12s1/2,           4350(7)  , *         1.547(14) ,        ,      0.0196(53),  2.946(55)E+04  ,          4350 ,          7 ,   0.16,       1.547,       0.014,    0.91,         0.0196,         0.0053,   27.10,  2.9458E+04,  5.5E+02,    1.88
 21,   7, 13p1/2, 13s1/2,        19500(100)  , *        39.732(65) ,        ,       0.143(39),  2.159(36)E+05  ,         19494 ,        107 ,   0.55,      39.732,       0.065,    0.16,          0.143,          0.039,   27.07,  2.1589E+05,  3.6E+03,    1.69
 21,  25, 13p1/2,  6d3/2,        156.059(5)  , *         0.002(10) ,        ,      0.0009(82),  1(12)E+03      ,        156.059,       0.005,   0.00,       0.002,       0.010,  469.56,         0.0009,         0.0082,  938.70,  1.3099E+03,  1.2E+04,  939.13
 21,  27, 13p1/2,  7d3/2,         364.72(3)  , *        0.0490(42) ,        ,       0.033(11),  5.02(86)E+04   ,         364.72,        0.03,   0.01,      0.0490,      0.0042,    8.60,          0.033,          0.011,   31.73,  5.0153E+04,  8.6E+03,   17.20
 21,  29, 13p1/2,  8d3/2,          693.1(1)  , *       0.17613(14) ,        ,       0.063(17),  9.439(15)E+04  ,          693.1,         0.1,   0.01,     0.17613,     0.00014,    0.08,          0.063,          0.017,   27.03,  9.4386E+04,  1.5E+02,    0.16
 21,  31, 13p1/2,  9d3/2,         1266.0(3)  , *       0.48043(42) ,        ,       0.077(21),  1.1523(22)E+05 ,         1266.0,         0.3,   0.03,     0.48043,     0.00042,    0.09,          0.077,          0.021,   27.03,  1.1523E+05,  2.2E+02,    0.19
 21,  33, 13p1/2, 10d3/2,           2428(1)  , *         1.323(13) ,        ,       0.082(22),  1.240(25)E+05  ,          2428 ,          1 ,   0.05,       1.323,       0.013,    1.00,          0.082,          0.022,   27.09,  1.2403E+05,  2.5E+03,    2.01
 21,  35, 13p1/2, 11d3/2,           5786(7)  , *         4.806(14) ,        ,       0.080(22),  1.2082(81)E+05 ,          5786 ,          7 ,   0.12,       4.806,       0.014,    0.29,          0.080,          0.022,   27.04,  1.2082E+05,  8.1E+02,    0.67
 21,  37, 13p1/2, 12d3/2,     8.5(3)E+04     , *         63.04(11) ,        ,      0.0044(13),  6.62(61)E+03   ,         84728 ,       2588 ,   3.05,       63.04,        0.11,    0.18,         0.0044,         0.0013,   28.53,  6.6189E+03,  6.1E+02,    9.17
 23,   1, 14p1/2,  7s1/2,        129.423(2)  , *        0.0340(97) ,        ,        0.47(14),  5.4(31)E+05    ,        129.423,       0.002,   0.00,      0.0340,      0.0097,   28.55,           0.47,           0.14,   30.19,  5.4079E+05,  3.1E+05,   57.11
 23,   2, 14p1/2,  8s1/2,        295.325(9)  , *        0.0276(75) ,        ,       0.026(16),  3.0(16)E+04    ,        295.325,       0.009,   0.00,      0.0276,      0.0075,   27.28,          0.026,          0.016,   59.59,  2.9919E+04,  1.6E+04,   54.55
 23,   3, 14p1/2,  9s1/2,         552.46(3)  , *       0.01532(88) ,        ,     0.00123(36),  1.41(16)E+03   ,         552.46,        0.03,   0.01,     0.01532,     0.00088,    5.74,        0.00123,        0.00036,   29.35,  1.4107E+03,  1.6E+02,   11.47
 23,   4, 14p1/2, 10s1/2,         959.01(9)  , *        0.0181(13) ,        ,     0.00033(10),  3.75(53)E+02   ,         959.01,        0.09,   0.01,      0.0181,      0.0013,    7.05,        0.00033,        0.00010,   30.47,  3.7464E+02,  5.3E+01,   14.09
 23,   5, 14p1/2, 11s1/2,         1641.2(3)  , *        0.1105(27) ,        ,     0.00244(67),  2.80(14)E+03   ,         1641.2,         0.3,   0.02,      0.1105,      0.0027,    2.42,        0.00244,        0.00067,   27.45,  2.7961E+03,  1.4E+02,    4.83
 23,   6, 14p1/2, 12s1/2,           2939(3)  , *        0.4208(61) ,        ,      0.0062(17),  7.07(21)E+03   ,          2939 ,          3 ,   0.09,      0.4208,      0.0061,    1.45,         0.0062,         0.0017,   27.17,  7.0659E+03,  2.1E+02,    2.90
 23,   7, 14p1/2, 13s1/2,           6187(9)  , *         2.044(18) ,        ,      0.0156(42),  1.787(32)E+04  ,          6187 ,          9 ,   0.14,       2.044,       0.018,    0.87,         0.0156,         0.0042,   27.08,  1.7867E+04,  3.2E+02,    1.79
