  Keys,,    Transition,,        Wavelength   ,          Matrix el. ,       ,       Br. ratio,     Tran. rate   ,     Wavelength,       Unc  ,  Unc %,  Matrix el.,       Unc  ,   Unc %,      Br. ratio,          Unc  ,   Unc %,  Tran. rate,    Unc  ,  Unc %
 27,  39, 13p3/2,  9d5/2,        11833.2(7)  ,           8.040(94) ,        ,      0.0611(15),  1.976(46)E+04  ,        11833.2,         0.7,   0.01,       8.040,       0.094,    1.16,         0.0611,         0.0015,    2.47,  1.9763E+04,  4.6E+02,    2.33
 27,  40, 13p3/2, 10d3/2,          22726(3)  ,           6.848(76) ,        ,     0.00626(16),  2.023(45)E+03  ,         22726 ,          3 ,   0.01,       6.848,       0.076,    1.12,        0.00626,        0.00016,    2.50,  2.0234E+03,  4.5E+01,    2.23
 27,  41, 13p3/2, 10d5/2,          22752(3)  ,           20.58(22) ,        ,      0.0563(13),  1.821(39)E+04  ,         22752 ,          3 ,   0.01,       20.58,        0.22,    1.06,         0.0563,         0.0013,    2.31,  1.8214E+04,  3.9E+02,    2.12
 27,  42, 13p3/2, 11d3/2,        65300(200)  , *          35.1(12) ,        ,     0.00692(49),  2.24(16)E+03   ,         65313 ,        214 ,   0.33,        35.1,         1.2,    3.50,        0.00692,        0.00049,    7.11,  2.2376E+03,  1.6E+02,    7.07
 27,  43, 13p3/2, 11d5/2,        65500(200)  , *         105.7(35) ,        ,      0.0624(40),  2.02(14)E+04   ,         65466 ,        215 ,   0.33,       105.7,         3.5,    3.32,         0.0624,         0.0040,    6.38,  2.0159E+04,  1.4E+03,    6.71
 28,  10,  4d3/2,  5p1/2,       1475.645(2)  ,           8.016(24) ,        ,      0.8453(12),  1.0130(61)E+07 ,       1475.645,       0.002,   0.00,       8.016,       0.024,    0.30,         0.8453,         0.0012,    0.14,  1.0130E+07,  6.1E+04,    0.60
 28,  11,  4d3/2,  5p3/2,       1529.262(2)  ,           3.618(12) ,        ,      0.1547(12),  1.854(13)E+06  ,       1529.262,       0.002,   0.00,       3.618,       0.012,    0.35,         0.1547,         0.0012,    0.78,  1.8544E+06,  1.3E+04,    0.69
 30,  10,  5d3/2,  5p1/2,       762.1030(6)  ,           1.353(77) ,        ,       0.510(29),  2.09(24)E+06   ,       762.1030,      0.0006,   0.00,       1.353,       0.077,    5.68,          0.510,          0.029,    5.74,  2.0934E+06,  2.4E+05,   11.36
 30,  11,  5d3/2,  5p3/2,       776.1570(6)  ,           0.666(35) ,        ,       0.117(13),  4.80(50)E+05   ,       776.1570,      0.0006,   0.00,       0.666,       0.035,    5.24,          0.117,          0.013,   10.93,  4.7981E+05,  5.0E+04,   10.48
 30,  12,  5d3/2,  6p1/2,        5036.63(4)  ,           18.11(18) ,        ,       0.316(19),  1.300(26)E+06  ,        5036.63,        0.04,   0.00,       18.11,        0.18,    1.00,          0.316,          0.019,    6.08,  1.2999E+06,  2.6E+04,    2.00
